,Verbatim,predictions
0,"Javier was great but was clear that his hands where tied due to issue is from product purchased over 90 says ago. Regardless, I called because a fan blade literally broke in 2 pieces and flew hitting the wall next to a recliner in the living room. An injury could have happened. He referred me to the Home Decorations and they do not show any interest in correcting or making right what could have been a very serious injury due a product defect. Home Depot consequently is apathetic and continuous selling the product, no recalls, no removal from the shelves. An installed fan blade made out of hard plastic broke in two and flew across the room. I wonder what our government Consumer Protection would say about it.","('PROD',)"
1,"my problem has to do with my veterans discount and how hard it is to get any help from your 800 customer service.  Each time I called I spoke with a person who was not in the usa, and though they do speak english (better then I could speak their language) I could not understand and they could not help.  Please hire in the usa.  As to my veterans discount maybe it has been solved.  Why is everything now either smartphone or pc?  What happened to just showing my VA card? And what will you do when the entire IT world crumbles?","('LANG',)"
2,"If you ship me a broken product I should not have to wait until it_x0019_s picked up, and then wait for a refund, and then call back and wait for someone to fix it to the original price to order. I have already spent hours on the phone with customer service and don_x0019_t want to do it again. Also the packaging was horrible and it_x0019_s no wonder it arrived damaged.","('GNRL', 'TIME', 'WAIT')"
3,"It was disappointing to receive the item in such bad shape.  It appears it was a returned item that was put back on the shelf and then sent out again.  Beside the issues reported I realize after I called, that the legs were attached, the Use and Care Guide was missing and the mat for the top drawer was also missing.  That all indicates the item was a return.  I would appreciate if we could also receive those 2 additional items.","('GNRL', 'STORE')"
4,Allow an online or chat version for people that have difficulty speaking.,"('KNOW',)"
5,"Thank you for understanding of my needs, and follow up call!","('PNK',)"
8,"If you have the ability to find purchase transaction records in your system for returns,  theres no excuse for not having the same ability for Warranty calls.","('WARR',)"
10,I was extremely both impressed and grateful that the replacement blade was provided at no cost. I was fully prepared to pay for the replacement when I called in. This type of customer service is exactly why I have been a  loyal Home Depot customer.,"('WARR',)"
12,"I called about a refrigerator that I purchased less than a year ago that is malfunctioning. I have a 3 year extended warranty on the frig. I was offered a replacement part for the rubber sealing that_x0019_s malfunctioning. I requested a repairman to come to my home and replace the rubber sealing and was told I had to do it myself. The situation frustrates me, because I don_x0019_t know anything about repairing a refrigerator, hence the reason I bought the extended warranty.","('WARR',)"
14,I go to store out of my way to purchase and they say that promotion is only online not in store and I_x0019_d have to go online and order. ,"('STORE',)"
15,Manager at store took sweet time to come up and wanted nothing to do to help. ,"('ESC', 'STORE')"
16,Called asked your rep as I did the manager at store and asked please show me where it specifys this is an online only promotion no one could. ,"('ESC', 'STORE')"
17,"I asked rep to help order items online since I wanted to use gift card and credit card to buy. They said to add to my cart and they can see. I did and they said I see it_x0019_s the M18 hole haug and it_x0019_s in stock at 177 Willard st I said yes I want to pick it up there since in stock. She takes my payment and says you should get email. I look at email it says items to be picked up in Avon I said why did you switch to Avon store they don_x0019_t have in stock. She said I didn_x0019_t change nothing that_x0019_s the store it always was. I said no your lying, I never brought up store and you said you see it_x0019_s in stock in my cart for 177 Willard I said that address never came out my mouth except for yes that_x0019_s where I want to get. So she puts me on hold and never came back. I was in phone for 79 min waiting getting run around. ","('STORE',)"
18,Another thing if you can order online and pickup in store manager should have told me that or offered saying I can_x0019_t do at my register but can do this for you. ,"('STORE',)"
19,"So over 2 hrs of my time wasted getting run around, 2 trips there and back which is another 45 min round trip each time","('TIME',)"
21,Your price match policy says one thing but your reps state other rules apply that are not provided.,"('STORE',)"
25,"The man I spoke with on the phone seemed very caring, and understanding. I was trying to get records and such, and kept hitting a dead end. Every single time. ","('COMM/SOFT',)"
28,"This rating is not a reflection of Nicole_x0019_s service (I understand she has to work within the HD system), but rather my dissatisfaction with the process of getting a replacement water heater when the brand new one I purchased turned out to be defective and was never functional.  The process is extremely burdensome and costly to the consumer","('PROD', 'WARR')"
30,the last email I received from Junnetta was July 6th 2023 informing me the manufacturer needed further information to which I promptly replied back with the part numbers needed and with the answer to the question.  I have not heard anything back from Junnetta and the kitchen faucet has not been in use now for 10-12 days due to not receiving the replacement parts.,"('PNK', 'WARR')"
31,I spoke to the representative and she told me the manager  will call me back within  48 hrs.  We''ll it's now a week  and I still  did not hear from her nor the manager.   I emailed  her back letting  her know  that and the other  representative  said she would send  her a message.   Thank you shaheed Ghani. 954 243 8343,"('ESC', 'PNK')"
32,Explain to the customers about the limited warranty before someone purchase a three-year warranty.,"('WARR',)"
34,While I don_x0019_t blame Kelsey at all because she did her job with what info she could do with. The BLAME is totally on the parts department and communicating with her regarding the part.  She followed thru with an email telling me she still didn_x0019_t have an answer from parts. I declined her offer in the email and found part with another vendor.   Whether it b a day or a few days this was unacceptable. Not good business practice to leave the customer hanging.  ,"('COMM/SOFT',)"
35,Kelsey was very kind and professional in her handling of my call but her hands were tied with getting proper information ,"('CREDIT',)"
39,I am dissatisfied with my experience being rung out during this visit to Home Depot. The cashier miscounted the number of boards I purchased. I didn_x0019_t catch it until it had been rung out. She told me I had to go to customer service to get it corrected. That her register could not perform refunds. This corporate policy and its fallout presents a lack of customer focused policies and is not appealing to me as your customer. Though Home Depot is closer to me I will consider traveling further to another provider due to policies like this.,"('GNRL', 'STORE')"
40,"It took way too long to have Home Depot respond to an obvious valid warranty issue.  When contacted and supplied pictures, was told fire pit finish wasn_x0019_t covered and I was welcome to buy another one.  Luckily your Olathe in store manager (after 3 weeks of this nonsense of communication or lack of) stepped up and did the right thing after I physically took fire pit in to be seen.  It was obvious warranty item right off and he exchanged it immediately.  Disappointed in online and call center service.  Happy with in store clerks and management.  This kind of an issue (with verifying pics) should have been handled immediately when first contacted.","('GNRL', 'PNK', 'STORE', 'TIME', 'WARR')"
43,"I am still missing 4 cabinets that were never delivered, every online large purchase has wrong or missing peices. I still want this case open till I receive the rest of my order.","('PROD',)"
44,I still have not received any updates about my case,"('PNK', 'SHPDLV')"
49,"I had a bad experience in the Twin Falls, ID store regarding my veteran_x0019_s discount.  Ivan made me feel like a valued customer when all was done so, good job.","('CREDIT', 'STORE')"
50,The customer service operator on the phone was very helpful and professional. I hope the employees at the store could be more like that,"('STORE',)"
51,"No not at this time, all is well","('WAIT',)"
52,"I never received a follow up phone call as promised, nor was the problem rectified. I_x0019_m still an unhappy customer and will definitely be shopping at Lowe_x0019_s FIRST from now on.","('PNK',)"
